gamv_out.dat
3
X
Y
Z
200.0 800.0 -0.57007 
200.0 600.0 1.88951 
200.0 400.0 0.75378 
200.0 200.0 -0.89171 
400.0 800.0 0.14799 
400.0 600.0 -0.75378 
400.0 400.0 0.89171 
400.0 200.0 0.04917 
600.0 800.0 -0.19788 
600.0 600.0 0.35113 
600.0 400.0 -0.51315 
600.0 200.0 0.29931 
800.0 800.0 1.13852 
800.0 600.0 1.65443 
800.0 400.0 0.09846 
800.0 200.0 -0.6289 
710.0 139.0 -0.24828 
110.0 649.0 2.33377 
80.0 919.0 -0.09846 
770.0 169.0 -1.13852 
430.0 569.0 -0.96742 
290.0 139.0 0.51315 
990.0 589.0 -0.29931 
780.0 359.0 -1.48609 
570.0 9.0 -1.04913 
940.0 279.0 0.40392 
200.0 769.0 -0.04917 
940.0 959.0 -0.45785 
980.0 609.0 0.19788 
680.0 859.0 0.6289 
980.0 709.0 1.04913 
360.0 559.0 -0.69 
290.0 299.0 0.69 
250.0 539.0 -1.23808 
60.0 449.0 1.23808 
160.0 549.0 1.3517 
860.0 729.0 1.48609 
680.0 569.0 0.96742 
730.0 379.0 -1.65443 
760.0 79.0 0.24828 
580.0 839.0 0.57007 
990.0 89.0 0.45785 
580.0 849.0 0.0 
70.0 209.0 -0.40392 
720.0 229.0 -0.14799 
180.0 929.0 -2.33377 
410.0 339.0 0.82079 
320.0 989.0 -1.88951 
370.0 709.0 -0.35113 
170.0 879.0 -0.82079 
790.0 349.0 -1.3517 
